Reviewer Name,Review Text,Publish Date,Star Given,Review URL,Owner Response Text
Suyatno Papafarell,,2025-06-08T10:39:39.934Z,5,https://www.google.com/maps/contrib/113088029871465972412?hl=id,
Wahyudi Syahputra,Kamar cukup bagus tapi tidak kedap suara sehingga istirahat sering terganggu saat ada orang lalu lalang dan bunyi dari luar.,2025-05-30T05:26:37.440Z,4,https://www.google.com/maps/contrib/108350707065170634375?hl=id,"Kepada Mr. Wahyu Saputro
Terima kasih sudah menginap di Tasneem Hotel Malioboro Yogyakarta. Kami turut senang jika bapak merasa puas dan nyaman selama menginap di Tasneem Hotel.kami juga memohon maaf atas kekurangan nya,semoga kedepan nya kami bisa memberikan pelayanan yang lebih baik lagi. Kami tunggu kedatangan nya kembali.

Salam hangat,
Management Tasneem Hotel Malioboro"
Indah Prima Hidayati,"Hotel paling mantep kalau di jogja. Sangat rekomen dah pokoknya kalau main ke jogja, kemana² dekat
1. Dekat alun² kidul
2. Dekat Malioboro
3. Dekat stasiun kereta api
4. Dekat dengan taman sari
5. Ada layanan laundry di hotelnya pake promo pula
6. Makanan restonya muantep... utk lidah orang medan cocok dah
7. Dalam seminggu ada 3 hari acara drama musicalnya kayak rama Shinta dan lainnya
Dan masih banyak lagilah we yang lainnya. Oiya harganya juga terjangkau.. kamar hotelnya dingin enak
Tempat tidur enaakk mantul dah.. untuk honeymoon mantep kali lah
Ada kolam renang, area parkir luas
Dahla sekian dulu reviewnya pokoknya ini hotel bintang 10.. mbak & masnya juga ramah² senyumnya manis2😁😁",2025-05-28T10:53:04.340Z,5,https://www.google.com/maps/contrib/104577592323872064769?hl=id,"Kepada Mrs. Indah Prima Hidayati
Terima kasih sudah menginap di Tasneem Hotel Malioboro Yogyakarta. Kami turut senang jika ibu merasa puas dan nyaman selama menginap di Tasneem Hotel.kami juga memohon maaf atas kekurangan nya,semoga kedepan nya kami bisa memberikan pelayanan yang lebih baik lagi. Kami tunggu kedatangan nya kembali.

Salam hangat,
Management Tasneem Hotel Malioboro"
Andria Wellie,,2025-05-27T18:23:12.563Z,5,https://www.google.com/maps/contrib/114273964240913867887?hl=id,"Kepada Mr. Andria Wellie
Terima kasih sudah menginap di Tasneem Hotel Malioboro Yogyakarta. Kami turut senang jika bapak merasa puas dan nyaman selama menginap di Tasneem Hotel.kami juga memohon maaf atas kekurangan nya,semoga kedepan nya kami bisa memberikan pelayanan yang lebih baik lagi. Kami tunggu kedatangan nya kembali.

Salam hangat,
Management Tasneem Hotel Malioboro"
Coach Dhimas Sapto T Poedjanarto Asd.,,2025-05-26T12:05:51.793Z,5,https://www.google.com/maps/contrib/101196602866997755290?hl=id,"Dear Coach Dhinas Sapto T. Poedjanato Asd
Terima kasih sudah menginap di Tasneem Hotel Malioboro Yogyakarta. Kami turut senang jika kakak merasa puas dan nyaman selama menginap di Tasneem Hotel.kami juga memohon maaf atas kekurangan nya,semoga kedepan nya kami bisa memberikan pelayanan yang lebih baik lagi. Kami tunggu kedatangan nya kembali.

Salam hangat,
Management Tasneem Hotel Malioboro"
Novie Handayani,Tempat nyaman di pusat kota jogja,2025-05-25T11:52:38.796Z,5,https://www.google.com/maps/contrib/113253240381075639455?hl=id,"Kepada Mrs. Novie Handayani
Terima kasih sudah menginap di Tasneem Hotel Malioboro Yogyakarta. Kami turut senang jika ibu merasa puas dan nyaman selama menginap di Tasneem Hotel.kami juga memohon maaf atas kekurangan nya,semoga kedepan nya kami bisa memberikan pelayanan yang lebih baik lagi. Kami tunggu kedatangan nya kembali.

Salam hangat,
Management Tasneem Hotel Malioboro"
Yudha Afandi,,2025-05-25T06:40:53.247Z,5,https://www.google.com/maps/contrib/115630854513462026097?hl=id,"Kepada Mr. Yudha Afandi
Terima kasih sudah menginap di Tasneem Hotel Malioboro Yogyakarta. Kami turut senang jika bapak merasa puas dan nyaman selama menginap di Tasneem Hotel.kami juga memohon maaf atas kekurangan nya,semoga kedepan nya kami bisa memberikan pelayanan yang lebih baik lagi. Kami tunggu kedatangan nya kembali.

Salam hangat,
Management Tasneem Hotel Malioboro"
D GW,,2025-05-24T08:37:52.535Z,4,https://www.google.com/maps/contrib/105921053587793786333?hl=id,"Kepada Mr. D GW
Terima kasih sudah menginap di Tasneem Hotel Malioboro Yogyakarta. Kami turut senang jika bapak merasa puas dan nyaman selama menginap di Tasneem Hotel.kami juga memohon maaf atas kekurangan nya,semoga kedepan nya kami bisa memberikan pelayanan yang lebih baik lagi. Kami tunggu kedatangan nya kembali.

Salam hangat,
Management Tasneem Hotel Malioboro"
narendraac jogja,,2025-05-24T06:48:06.316Z,5,https://www.google.com/maps/contrib/108744257125206889418?hl=id,"Dear Narendraac Jogja

Terima kasih sudah menginap di Tasneem Hotel Malioboro Yogyakarta. Kami turut senang jika bapak merasa puas dan nyaman selama menginap di Tasneem Hotel.kami juga memohon maaf atas kekurangan nya,semoga kedepan nya kami bisa memberikan pelayanan yang lebih baik lagi. Kami tunggu kedatangan nya kembali.

Salam hangat,
Management Tasneem Hotel Malioboro"
Heny Susanti,"Udah sering nginap disini tempatnya bersih, kamar bersih, harga terjangkau, makanan bervariasi",2025-05-20T04:22:23.619Z,5,https://www.google.com/maps/contrib/109592789228252612014?hl=id,"Kepada Ibu Heny Susanti

Terima kasih sudah menginap di Tasneem Hotel Malioboro Yogyakarta. Kami turut senang jika ibu merasa puas dan nyaman selama menginap di Tasneem Hotel.kami juga memohon maaf atas kekurangan nya,semoga kedepan nya kami bisa memberikan pelayanan yang lebih baik lagi. Kami tunggu kedatangan nya kembali.

Salam hangat,
Management Tasneem Hotel Malioboro"
Agung Widi,,2025-05-17T05:09:54.412Z,5,https://www.google.com/maps/contrib/106482905247868319834?hl=id,"Kepada Mr. Agung Widi
Terima kasih sudah menginap di Tasneem Hotel Malioboro Yogyakarta. Kami turut senang jika bapak merasa puas dan nyaman selama menginap di Tasneem Hotel.kami juga memohon maaf atas kekurangan nya,semoga kedepan nya kami bisa memberikan pelayanan yang lebih baik lagi. Kami tunggu kedatangan nya kembali. 

Salam hangat, 
Management Tasneem Hotel Malioboro"
Samsung 9muda,Hotel harga terjangkau lokasi strategis hanya memang uda agak lama sehingga kamar sedikit bau lembab karna dinding sebagian sudah terkelupas,2025-05-17T04:07:02.114Z,5,https://www.google.com/maps/contrib/105006759533185621082?hl=id,"Kepada Samsung Muda
Terima kasih sudah menginap di Tasneem Hotel Malioboro Yogyakarta. Kami turut senang jika kakak merasa puas dan nyaman selama menginap di Tasneem Hotel.kami juga memohon maaf atas kekurangan nya,semoga kedepan nya kami bisa memberikan pelayanan yang lebih baik lagi. Kami tunggu kedatangan nya kembali. 

Salam hangat, 
Management Tasneem Hotel Malioboro"
Bintaro Business Centre,,2025-05-15T15:09:06.411Z,5,https://www.google.com/maps/contrib/104760638125959810239?hl=id,"Kepada Bintaro Business Centre

Terima kasih sudah menginap di Tasneem Hotel Malioboro Yogyakarta. Kami turut senang jika kakak merasa puas dan nyaman selama menginap di Tasneem Hotel.kami juga memohon maaf atas kekurangan nya,semoga kedepan nya kami bisa memberikan pelayanan yang lebih baik lagi. Kami tunggu kedatangan nya kembali. 

Salam hangat, 
Management Tasneem Hotel Malioboro"
