Reviewer Name,Review Text,Star Given,Publish Date
Encep Misbah,,5,2025-06-19T10:36:49.272Z
Dennis Lim,"Five stars to Pandu, a helpful employee working there",5,2025-06-18T14:55:17.664Z
Kelley Fleming,"The ballet was great! And the hosts were helpful, especially Pandu.",5,2025-06-18T14:27:01.202Z
Ariyani Ratnasari,"bisa jadi opsi kalau tidak mau jauh jauh melihat Ramayana Ballet di candi Prambanan., letaknya hanya 10 menitan dari Jalan Malioboro...",5,2025-06-17T14:40:20.805Z
Ahmed Naggar,,4,2025-06-16T15:01:40.233Z
Doyan makan,Tiket promo buat warga lokal Jogja nonton Rama Shinta sendratari wow bagus,5,2025-06-14T15:16:39.643Z
N Lintang,"地元の人ですが、今回初めて観て、とても感動しました。
プランバナンのはなかなか予約が取れず、正直こちらのにはあまり期待していませんでしたが、観に行って本当に良かったです！",5,2025-06-14T15:13:42.623Z
Mohammad Sidrah,,4,2025-06-12T16:19:06.228Z
Daiva Hero,,4,2025-06-10T07:05:51.697Z
Retno Mustakim Putri,Bakal kesini lagi sih 🥰,5,2025-06-07T15:58:46.193Z
M Alif Akbar,ok,5,2025-06-05T17:07:06.490Z
Raffa Novel,Cukup bagus untuk ditonton,4,2025-06-03T13:33:43.204Z
Nicole Wan,"Great show, but the start was a little slow. There’s an exciting climax to the story, and it’s a little more fast paced after that. You definitely have to read the written explanation of the story that they provide to understand it.

They offer welcome drinks for the show which is nice. We didn’t take the buffet.

The theatre is outdoors and can get quite hot and smokey due to the pyrotechnics. Not suitable for asthmatics.",4,2025-06-02T15:42:13.995Z
Reza Aditya,"great traditional dance experience..
It is better to add information in each scene, to make it easier to understand the dance storyline",5,2025-06-02T05:34:21.980Z
Wahyu Prasetya,,5,2025-06-01T11:15:09.388Z
Dwiko Prabowo,"The dance performances presented have the potential to be developed into interesting attractions, especially for foreign tourists. I think some improvements are still needed to the performance format so that it can be understood more easily. The fire attraction seems to be the one that generates the most applause and appreciation from the audience.",4,2025-05-31T08:48:30.736Z
Fairuz Su'da,,5,2025-05-30T16:13:56.376Z
Jejak Hujan,"Cerita Ramayana tentang cerita kandas Rahwana,,,untuk memiliki sinta",5,2025-05-30T00:41:50.068Z
J Bz,"Ok dancing. As they do shows daiky, it seems to lack the oomph dance factor. Just another mundane performance vibes.
Reception was good. Go early before any crowd to take 3D illusion photos.

Forget about the meal, expensive and not worth it.

Expect mozzies. No lean back support. No suitable for people with back problems.
Semi open air, yet was hot and stuffy.

Sound system sorely needs upgrading, especially when the vocal singing beginning of the show, piecing to the ears.",3,2025-05-29T11:56:40.321Z
Andria Wellie,,5,2025-05-27T18:25:19.867Z
장재희,,4,2025-05-21T23:12:42.508Z
Agus santo,Tempat wisata budaya dan makan yg pas u keluarga... Harga rekomended,5,2025-05-21T08:16:33.994Z
Julius Ardhiansyah,Great performance,5,2025-05-20T05:41:08.686Z
Umar Imanuddin,Enggak nyangka banget 40 tahun lebih atau empat dekade berhasil meraih rekor Muri dengan menampilkan Sendratari tanpa pernah libur,5,2025-05-16T07:20:44.870Z
Dominik Dobrowolski,"Incredible show, and incredible story. I recommend anyone that’s in Jogjakarta to visit the Ramayana Ballet.

The dinner is a buffet, which was OK. Decent variety of foods, but the taste was not quite there.

However the show is fantastic and that’s the main spectacle.",5,2025-05-16T02:36:15.611Z
andi setiawan,Good,5,2025-05-15T00:20:36.750Z
Michael M,Sehr schöne Vorstellung. Das nötige Wissen um die Geschichte zu verstehen bekommt man auf einem Info Blatt mitgeliefert:). Ein kleiner Ausschnitt aus der Geschichte von Indonesien.,5,2025-05-14T15:40:37.577Z
Nurul Annisa,"Waktu itu dapet promo pas nonton di sini, khusus warga DIY. Dapet welcome drink & tidak berekspektasi apa apa. TAPI TERNYATA KEREN BANGET!!! Beberapa adegan sangat unpreditable. Mulai dari penggunaan api beneran trus ada adegan adegan yg gak expect akan dilakuin sm pemainnya. WORTH TO WATCH!",5,2025-05-13T11:07:12.768Z
